,click_bool,booking_bool,relevance
relevance,0.8697820445537688,0.9879396024664913,1.0
booking_bool,0.782888613406975,1.0,0.9879396024664913
click_bool,1.0,0.782888613406975,0.8697820445537688
prop_location_score2,0.07380689212778893,0.06640538629091362,0.07091878587871688
star_diff_from_search_avg,0.04785554267319543,0.04083744171569087,0.044298128944450545
promotion_flag,0.0394396904344223,0.03604692437210253,0.038404289123813704
review_diff_from_search_avg,0.0349955632732398,0.031016952713807604,0.03330794089936137
srch_query_affinity_score,0.04176426718426029,0.025523777104781206,0.02974717667812318
prop_review_score,0.02342373576970293,0.025800243511881052,0.026291035190240886
prop_starrating,0.030787629413984722,0.02120598547980063,0.02448068166584552
comp8_rate,0.023658098229725383,0.02360725328334188,0.02441917198234058
comp5_rate,0.02143392661532243,0.020826913196270416,0.0217746932747778
num_competitors_expedia_cheaper,0.015205075424983009,0.01923372423735247,0.019038395003441393
comp4_rate,0.01816644322693526,0.017926228967308118,0.01880531787618774
comp2_rate,0.016951139624519013,0.01621680941488381,0.016978679345855226
comp3_rate,0.015629388643023066,0.016314671499326076,0.016723806850919835
comp7_rate,0.014477958109330365,0.01143173359481482,0.01259947119685126
comp6_rate,0.013183828268159462,0.011454592842016461,0.012311952832063284
comp1_rate,0.007939275118960221,0.010132931390012537,0.010056066145473988
prop_brand_bool,0.0008660993675668997,0.00999063115744019,0.008139111123113421
srch_room_count,0.0070439426053749265,0.007948277953789927,0.008056825073983743
family_search,0.0069435051020231885,0.007620893707483465,0.007772180631086206
comp7_rate_percent_diff,0.0077764207087088364,0.005602424076691803,0.006336357822052789
num_competitors_with_inv_data,-0.003028207515213811,0.008876560792216751,0.006286352237285029
num_competitors_with_rate_data,-0.0034312332097346725,0.008423095834579656,0.00582640703902813
comp6_rate_percent_diff,0.006484287026535383,0.005080765669024321,0.005629116746953421
srch_saturday_night_bool,0.0011501720362051156,0.005477514663386052,0.004630460169808628
srch_children_count,0.006012369963439425,0.0038716695264899566,0.004566938816079882
domestic_search,-0.005231779758736967,0.00526826195108472,0.0028762020735691937
comp1_rate_percent_diff,0.002131217983671622,0.0023035444919979886,0.0023678977797135605
num_competitors_same_price,-0.00539989299371065,0.003909205520244559,0.0017564965169782
visitor_hist_adr_usd,0.0038583051537967286,0.000601868043680216,0.0013284948582215363
comp2_rate_percent_diff,0.0013945956372535461,0.0011922983855650769,0.0012817542790895752
site_id,0.008497290440281939,-0.0013535013644614996,0.0010412912056854814
srch_destination_id,0.0011926567554330402,0.0008003560160219169,0.0009315826267935597
visitor_location_country_id,-0.004805957051007256,0.002523677239496332,0.0008054501525770285
search_min_price,0.0006267533856359886,0.00043180579751584026,0.0004984472727477483
srch_id,0.00019379870127317027,0.00048698212653804356,0.0004344565435693128
comp4_rate_percent_diff,0.0019482937652767027,-0.0001941187284576946,0.0003366588550527937
search_avg_price,0.000604182948722814,0.00021590640687843695,0.0003216004465050319
prop_log_historical_price,0.0033604720153428145,-0.0008065346372862335,0.00019667110087775495
price_usd,0.00050991432433532,6.676156824766471e-05,0.000179852810406829
search_max_price,0.0004265284749287447,4.163576324591494e-05,0.00013917300950434594
price_diff_from_search_min,0.0003903516890709194,-9.294165662568098e-05,2.343631243796259e-05
num_competitors_unavailable,-0.0011225322250291614,0.00034297501316864844,-7.355528962189783e-06
price_diff_from_search_avg,7.618100831319667e-05,-0.00015119055905046854,-0.00010094966522574946
prop_id,0.00024644200396845006,-0.0005081730245250391,-0.0003416986965835778
comp8_inv,-0.00045999690795369444,-0.0004222767127330317,-0.0004456097925769812
prop_country_id,-0.006222346493766692,0.0012274208350503061,-0.0005751118660657792
comp2_inv,-0.00027915325579307024,-0.0010192053848321898,-0.0008770242569285032
visitor_hist_starrating,0.002540632946624406,-0.002043655115821077,-0.00107151767812207
comp5_rate_percent_diff,-0.0014279522433077684,-0.0013490376804148228,-0.0014163359885063726
comp8_rate_percent_diff,-0.00164386037033367,-0.001304447306573869,-0.0014268698829859145
comp3_rate_percent_diff,-0.0018039956551653472,-0.0014844152301356273,-0.0016085358795160222
comp4_inv,-0.000933185889164163,-0.0019609479910666014,-0.001790590665966888
prop_location_score1,0.0021836862215151493,-0.003273212832432774,-0.002052520480531198
orig_destination_distance,0.0022874264083907678,-0.003687131097791307,-0.0023612835137226972
srch_adults_count,0.004620027086462265,-0.005376241667384193,-0.003114089851107577
comp5_inv,-0.003099138286595364,-0.003522882194693464,-0.003554768386356695
comp6_inv,-0.005018847141013688,-0.005906498856425814,-0.0059157785284355575
comp7_inv,-0.0069145694516095455,-0.006154860799835176,-0.006574750111571572
search_avg_review,-0.01713671341125939,-0.003977454618099295,-0.007419384920285956
comp3_inv,-0.006722761414815948,-0.00743785398584565,-0.007529295388741843
comp1_inv,-0.007262654495007792,-0.00784993578343339,-0.008078739599239314
num_competitors_expedia_more_expensive,-0.011539816458876978,-0.007495785181240327,-0.008816858153775562
search_avg_star,-0.009177622578578829,-0.0157207370949346,-0.014752173173339314
srch_booking_window,0.00170713644613775,-0.019582215819016174,-0.015105778722136344
srch_length_of_stay,0.00264707051197709,-0.024412092596624666,-0.018702425358810584
log_price_usd,-0.018576617996997183,-0.026520955829517683,-0.025656980953083098
price_ratio_to_search_avg,-0.03597682644349895,-0.03349435146416131,-0.035518029781560344
random_bool,0.005819127498909655,-0.08889105639288589,-0.06905119966437823
position,-0.16499244508534192,-0.14791849938869117,-0.1583763260833464
gross_bookings_usd,,,
