,missing_count,missing_percentage,dtype
comp1_rate_percent_diff,4863908,98.09535314894258,float64
comp6_rate_percent_diff,4862173,98.06036164875108,float64
comp1_rate,4838417,97.58125036428471,float64
comp1_inv,4828788,97.38705258022482,float64
comp4_rate_percent_diff,4827261,97.35625602645398,float64
gross_bookings_usd,4819957,97.20894886945186,float64
comp7_rate_percent_diff,4819832,97.20642786799714,float64
comp6_rate,4718190,95.156510829113,float64
visitor_hist_starrating,4706481,94.9203635808466,float64
visitor_hist_adr_usd,4705359,94.89773507178904,float64
comp6_inv,4697371,94.7366329948267,float64
comp4_rate,4650969,93.80079691881186,float64
comp7_rate,4642999,93.640057866059,float64
srch_query_affinity_score,4640941,93.5985520981085,float64
comp4_inv,4614684,93.06900061653612,float64
comp7_inv,4601925,92.81167695605006,float64
comp3_rate_percent_diff,4485550,90.46462460170697,float64
comp2_rate_percent_diff,4402109,88.78178554264153,float64
comp8_rate_percent_diff,4343617,87.60211820592629,float64
comp5_rate_percent_diff,4117248,83.03670557950059,float64
comp3_rate,3424059,69.0564617603407,float64
comp3_inv,3307357,66.70281446619207,float64
comp8_rate,3041693,61.344899822460995,float64
comp8_inv,2970844,59.916016365938084,float64
comp2_rate,2933675,59.16639154137457,float64
comp2_inv,2828078,57.03671001646315,float64
comp5_rate,2735974,55.17915547257988,float64
comp5_inv,2598327,52.40308917467858,float64
orig_destination_distance,1607782,32.42576608696407,float64
prop_location_score2,1090348,21.99015115319682,float64
prop_review_score,7364,0.14851723770038683,float64
click_bool,0,0.0,int64
srch_id,0,0.0,int64
date_time,0,0.0,datetime64[us]
position,0,0.0,int64
site_id,0,0.0,int64
visitor_location_country_id,0,0.0,int64
prop_country_id,0,0.0,int64
prop_id,0,0.0,int64
prop_starrating,0,0.0,int64
prop_brand_bool,0,0.0,int64
prop_location_score1,0,0.0,float64
prop_log_historical_price,0,0.0,float64
price_usd,0,0.0,float64
random_bool,0,0.0,int64
promotion_flag,0,0.0,int64
srch_destination_id,0,0.0,int64
srch_length_of_stay,0,0.0,int64
srch_booking_window,0,0.0,int64
srch_adults_count,0,0.0,int64
srch_children_count,0,0.0,int64
srch_room_count,0,0.0,int64
srch_saturday_night_bool,0,0.0,int64
booking_bool,0,0.0,int64
