feature,importance,model,weight
prop_id_mean_random_bool,4872,A_best_single,0.25
location1_diff_from_search_mean,4593,A_best_single,0.25
location2_diff_from_prop_mean,3599,A_best_single,0.25
log_price_diff_from_prop_mean,3510,A_best_single,0.25
price_pct_rank_in_search,3427,A_best_single,0.25
prop_id_std_location_score2,3401,A_best_single,0.25
prop_id_mean_total_guests,3396,A_best_single,0.25
prop_log_historical_price,3330,A_best_single,0.25
prop_id_mean_comp_more_expensive,3192,A_best_single,0.25
star_diff_from_search_mean,3169,A_best_single,0.25
prop_id_mean_comp_cheaper,3133,A_best_single,0.25
location2_diff_from_search_mean,3110,A_best_single,0.25
prop_id_mean_location_score2,3085,A_best_single,0.25
star_pct_rank_in_search,3051,A_best_single,0.25
prop_id_mean_booking_window,3011,A_best_single,0.25
review_diff_from_search_mean,3000,A_best_single,0.25
promotion_above_search_avg,2970,A_best_single,0.25
value_star_price,2965,A_best_single,0.25
prop_id_mean_length_of_stay,2964,A_best_single,0.25
prop_id_std_log_price,2955,A_best_single,0.25
prop_id_count,2953,A_best_single,0.25
price_diff_from_search_median,2941,A_best_single,0.25
location2_pct_rank_in_search,2894,A_best_single,0.25
srch_booking_window,2810,A_best_single,0.25
prop_id_mean_comp_unavailable,2793,A_best_single,0.25
price_rank_in_search,2749,A_best_single,0.25
prop_id_mean_comp_same_price,2747,A_best_single,0.25
price_diff_from_search_mean,2738,A_best_single,0.25
value_location1_price,2702,A_best_single,0.25
prop_id_mean_query_affinity,2670,A_best_single,0.25
prop_dest_count,2641,A_best_single,0.25
value_review_price,2627,A_best_single,0.25
review_pct_rank_in_search,2578,A_best_single,0.25
search_location2_mean,2563,A_best_single,0.25
prop_id_min_price,2502,A_best_single,0.25
star_rank_in_search,2482,A_best_single,0.25
star_diff_from_dest_mean,2406,A_best_single,0.25
review_diff_from_dest_mean,2362,A_best_single,0.25
dest_id_count,2313,A_best_single,0.25
prop_id_mean_orig_distance,2294,A_best_single,0.25
random_bool,2289,A_best_single,0.25
search_price_max,2268,A_best_single,0.25
prop_id_std_price,2252,A_best_single,0.25
search_review_mean,2245,A_best_single,0.25
search_location1_mean,2240,A_best_single,0.25
prop_id_mean_promotion_flag,2226,A_best_single,0.25
prop_id_mean_domestic_search,2213,A_best_single,0.25
price_ratio_to_search_mean,2200,A_best_single,0.25
price_ratio_to_search_median,2160,A_best_single,0.25
search_star_mean,2154,A_best_single,0.25
price_ratio_to_prop_median,2130,A_best_single,0.25
prop_location_score2,2122,A_best_single,0.25
location2_diff_from_dest_mean,2097,A_best_single,0.25
promotion_diff_from_prop_mean,2059,A_best_single,0.25
dest_id_mean_review_score,2030,A_best_single,0.25
dest_id_mean_length_of_stay,1999,A_best_single,0.25
prop_location_score1,1996,A_best_single,0.25
srch_destination_id,1957,A_best_single,0.25
prop_id_max_price,1940,A_best_single,0.25
price_diff_from_search_min,1917,A_best_single,0.25
orig_destination_distance,1886,A_best_single,0.25
dest_id_mean_total_guests,1858,A_best_single,0.25
dest_id_mean_brand_bool,1808,A_best_single,0.25
dest_id_mean_booking_window,1795,A_best_single,0.25
price_diff_from_prop_median,1787,A_best_single,0.25
price_ratio_to_dest_median,1784,A_best_single,0.25
location2_value_rank,1773,A_best_single,0.25
prop_dest_mean_promotion,1750,A_best_single,0.25
review_rank_in_search,1739,A_best_single,0.25
dest_id_mean_promotion_flag,1730,A_best_single,0.25
brand_x_location2,1726,A_best_single,0.25
search_price_min,1697,A_best_single,0.25
dest_id_mean_location_score1,1681,A_best_single,0.25
location2_minus_price_rank,1653,A_best_single,0.25
price_diff_from_dest_median,1645,A_best_single,0.25
prop_id_mean_comp_inv_missing,1640,A_best_single,0.25
search_promotion_rate,1625,A_best_single,0.25
value_location2_price,1584,A_best_single,0.25
dest_id_mean_domestic_search,1567,A_best_single,0.25
dest_id_mean_location_score2,1563,A_best_single,0.25
dest_id_std_price,1487,A_best_single,0.25
dest_id_mean_starrating,1441,A_best_single,0.25
review_value_rank,1438,A_best_single,0.25
location2_rank_in_search,1400,A_best_single,0.25
log_price_diff_from_search_mean,1397,A_best_single,0.25
review_minus_price_rank,1372,A_best_single,0.25
prop_id_mean_comp_rate_missing,1345,A_best_single,0.25
prop_id_mean_comp_available,1269,A_best_single,0.25
search_hour,1248,A_best_single,0.25
search_price_median,1245,A_best_single,0.25
star_value_rank,1206,A_best_single,0.25
prop_dest_median_price,1180,A_best_single,0.25
star_minus_price_rank,1156,A_best_single,0.25
prop_dest_mean_price,1057,A_best_single,0.25
site_id,1049,A_best_single,0.25
prop_id_mean_price,1048,A_best_single,0.25
dest_id_median_price,1034,A_best_single,0.25
dest_id_mean_price,1028,A_best_single,0.25
visitor_location_country_id,1021,A_best_single,0.25
prop_dest_mean_log_price,1016,A_best_single,0.25
srch_length_of_stay,1004,A_best_single,0.25
price_usd,985,A_best_single,0.25
dest_id_mean_log_price,947,A_best_single,0.25
hotels_in_search,931,A_best_single,0.25
