feature,importance,model,weight
prop_id_te_click_rate,5960,A_new_best,0.5
location1_diff_from_search_mean,5652,A_new_best,0.5
log_price_diff_from_prop_mean,5474,A_new_best,0.5
prop_id_mean_random_bool,5446,A_new_best,0.5
location2_diff_from_prop_mean,4888,A_new_best,0.5
price_pct_rank_in_search,4667,A_new_best,0.5
promotion_above_search_avg,4184,A_new_best,0.5
prop_dest_te_click_rate,4178,A_new_best,0.5
location2_diff_from_search_mean,4106,A_new_best,0.5
star_diff_from_search_mean,4071,A_new_best,0.5
review_diff_from_search_mean,4012,A_new_best,0.5
prop_log_historical_price,3992,A_new_best,0.5
price_diff_from_search_median,3985,A_new_best,0.5
price_rank_in_search,3970,A_new_best,0.5
prop_id_std_location_score2,3896,A_new_best,0.5
star_pct_rank_in_search,3895,A_new_best,0.5
prop_id_mean_location_score2,3757,A_new_best,0.5
srch_booking_window,3703,A_new_best,0.5
location2_pct_rank_in_search,3697,A_new_best,0.5
search_price_max,3548,A_new_best,0.5
price_diff_from_search_mean,3508,A_new_best,0.5
prop_id_te_relevance_mean,3474,A_new_best,0.5
prop_id_std_log_price,3455,A_new_best,0.5
prop_id_mean_total_guests,3451,A_new_best,0.5
value_star_price,3390,A_new_best,0.5
value_location1_price,3324,A_new_best,0.5
prop_id_te_booking_rate,3285,A_new_best,0.5
review_pct_rank_in_search,3212,A_new_best,0.5
search_location2_mean,3199,A_new_best,0.5
prop_id_mean_comp_more_expensive,3126,A_new_best,0.5
price_ratio_to_prop_median,3108,A_new_best,0.5
star_rank_in_search,3090,A_new_best,0.5
random_bool,3035,A_new_best,0.5
promotion_diff_from_prop_mean,3019,A_new_best,0.5
price_ratio_to_search_mean,3013,A_new_best,0.5
prop_id_mean_booking_window,3011,A_new_best,0.5
value_review_price,2997,A_new_best,0.5
search_review_mean,2948,A_new_best,0.5
price_ratio_to_search_median,2915,A_new_best,0.5
prop_dest_te_relevance_mean,2869,A_new_best,0.5
prop_dest_te_booking_rate,2862,A_new_best,0.5
prop_location_score2,2839,A_new_best,0.5
prop_id_mean_comp_cheaper,2817,A_new_best,0.5
