feature,importance,model,weight
prop_id_te_click_rate,3999,B_large_tree,0.3333333333333333
location1_diff_from_search_mean,3700,B_large_tree,0.3333333333333333
log_price_diff_from_prop_mean,3646,B_large_tree,0.3333333333333333
prop_id_mean_random_bool,3593,B_large_tree,0.3333333333333333
price_pct_rank_in_search,3225,B_large_tree,0.3333333333333333
location2_diff_from_prop_mean,3201,B_large_tree,0.3333333333333333
promotion_above_search_avg,2967,B_large_tree,0.3333333333333333
location2_diff_from_search_mean,2802,B_large_tree,0.3333333333333333
star_diff_from_search_mean,2791,B_large_tree,0.3333333333333333
price_diff_from_search_median,2747,B_large_tree,0.3333333333333333
price_rank_in_search,2709,B_large_tree,0.3333333333333333
star_pct_rank_in_search,2688,B_large_tree,0.3333333333333333
review_diff_from_search_mean,2579,B_large_tree,0.3333333333333333
prop_dest_te_click_rate,2552,B_large_tree,0.3333333333333333
prop_id_mean_location_score2,2482,B_large_tree,0.3333333333333333
price_diff_from_search_mean,2474,B_large_tree,0.3333333333333333
prop_id_std_location_score2,2459,B_large_tree,0.3333333333333333
search_location2_mean,2337,B_large_tree,0.3333333333333333
location2_pct_rank_in_search,2306,B_large_tree,0.3333333333333333
srch_booking_window,2270,B_large_tree,0.3333333333333333
prop_log_historical_price,2269,B_large_tree,0.3333333333333333
value_location1_price,2266,B_large_tree,0.3333333333333333
prop_id_std_log_price,2218,B_large_tree,0.3333333333333333
prop_id_te_relevance_mean,2190,B_large_tree,0.3333333333333333
search_price_max,2172,B_large_tree,0.3333333333333333
review_pct_rank_in_search,2154,B_large_tree,0.3333333333333333
star_rank_in_search,2140,B_large_tree,0.3333333333333333
prop_id_te_booking_rate,2118,B_large_tree,0.3333333333333333
value_star_price,2103,B_large_tree,0.3333333333333333
prop_id_mean_total_guests,2091,B_large_tree,0.3333333333333333
search_review_mean,2079,B_large_tree,0.3333333333333333
price_ratio_to_prop_median,2063,B_large_tree,0.3333333333333333
random_bool,2011,B_large_tree,0.3333333333333333
prop_id_mean_comp_more_expensive,1963,B_large_tree,0.3333333333333333
prop_location_score2,1953,B_large_tree,0.3333333333333333
price_ratio_to_search_mean,1917,B_large_tree,0.3333333333333333
promotion_diff_from_prop_mean,1890,B_large_tree,0.3333333333333333
value_review_price,1852,B_large_tree,0.3333333333333333
search_location1_mean,1845,B_large_tree,0.3333333333333333
price_ratio_to_search_median,1844,B_large_tree,0.3333333333333333
prop_id_mean_length_of_stay,1843,B_large_tree,0.3333333333333333
prop_id_mean_booking_window,1826,B_large_tree,0.3333333333333333
prop_dest_te_booking_rate,1806,B_large_tree,0.3333333333333333
price_ratio_to_dest_median,1799,B_large_tree,0.3333333333333333
price_diff_from_prop_median,1777,B_large_tree,0.3333333333333333
prop_id_mean_comp_cheaper,1770,B_large_tree,0.3333333333333333
prop_id_mean_comp_same_price,1763,B_large_tree,0.3333333333333333
star_diff_from_dest_mean,1741,B_large_tree,0.3333333333333333
