feature,importance,model,weight
prop_id_te_click_rate,3620,B_old_best,0.5
log_price_diff_from_prop_mean,3495,B_old_best,0.5
location1_diff_from_search_mean,3426,B_old_best,0.5
prop_id_mean_random_bool,3337,B_old_best,0.5
location2_diff_from_prop_mean,3018,B_old_best,0.5
price_pct_rank_in_search,2968,B_old_best,0.5
promotion_above_search_avg,2756,B_old_best,0.5
star_diff_from_search_mean,2690,B_old_best,0.5
location2_diff_from_search_mean,2644,B_old_best,0.5
price_rank_in_search,2608,B_old_best,0.5
price_diff_from_search_median,2561,B_old_best,0.5
star_pct_rank_in_search,2561,B_old_best,0.5
review_diff_from_search_mean,2494,B_old_best,0.5
prop_dest_te_click_rate,2307,B_old_best,0.5
price_diff_from_search_mean,2270,B_old_best,0.5
prop_id_mean_location_score2,2270,B_old_best,0.5
prop_log_historical_price,2213,B_old_best,0.5
location2_pct_rank_in_search,2205,B_old_best,0.5
prop_id_std_location_score2,2203,B_old_best,0.5
search_location2_mean,2202,B_old_best,0.5
srch_booking_window,2100,B_old_best,0.5
random_bool,2065,B_old_best,0.5
prop_id_te_relevance_mean,2056,B_old_best,0.5
value_location1_price,2006,B_old_best,0.5
search_price_max,1978,B_old_best,0.5
star_rank_in_search,1972,B_old_best,0.5
review_pct_rank_in_search,1968,B_old_best,0.5
prop_id_std_log_price,1937,B_old_best,0.5
value_star_price,1910,B_old_best,0.5
prop_id_te_booking_rate,1905,B_old_best,0.5
prop_id_mean_total_guests,1895,B_old_best,0.5
price_ratio_to_prop_median,1882,B_old_best,0.5
prop_location_score2,1835,B_old_best,0.5
price_ratio_to_search_mean,1774,B_old_best,0.5
search_review_mean,1753,B_old_best,0.5
promotion_diff_from_prop_mean,1750,B_old_best,0.5
prop_id_mean_comp_more_expensive,1743,B_old_best,0.5
price_ratio_to_search_median,1736,B_old_best,0.5
value_review_price,1677,B_old_best,0.5
prop_dest_te_booking_rate,1622,B_old_best,0.5
price_diff_from_prop_median,1621,B_old_best,0.5
prop_id_mean_length_of_stay,1602,B_old_best,0.5
star_diff_from_dest_mean,1595,B_old_best,0.5
prop_id_mean_booking_window,1593,B_old_best,0.5
