feature,importance,model,weight
prop_id_te_click_rate,3590,C_mid_child,0.3333333333333333
log_price_diff_from_prop_mean,3296,C_mid_child,0.3333333333333333
prop_id_mean_random_bool,3208,C_mid_child,0.3333333333333333
location1_diff_from_search_mean,3133,C_mid_child,0.3333333333333333
price_pct_rank_in_search,3013,C_mid_child,0.3333333333333333
location2_diff_from_prop_mean,2949,C_mid_child,0.3333333333333333
star_diff_from_search_mean,2596,C_mid_child,0.3333333333333333
promotion_above_search_avg,2596,C_mid_child,0.3333333333333333
price_rank_in_search,2554,C_mid_child,0.3333333333333333
location2_diff_from_search_mean,2501,C_mid_child,0.3333333333333333
price_diff_from_search_median,2489,C_mid_child,0.3333333333333333
star_pct_rank_in_search,2477,C_mid_child,0.3333333333333333
review_diff_from_search_mean,2383,C_mid_child,0.3333333333333333
prop_id_mean_location_score2,2173,C_mid_child,0.3333333333333333
price_diff_from_search_mean,2153,C_mid_child,0.3333333333333333
prop_dest_te_click_rate,2144,C_mid_child,0.3333333333333333
prop_id_std_location_score2,2132,C_mid_child,0.3333333333333333
location2_pct_rank_in_search,2096,C_mid_child,0.3333333333333333
search_location2_mean,2087,C_mid_child,0.3333333333333333
value_location1_price,2002,C_mid_child,0.3333333333333333
prop_id_te_relevance_mean,1977,C_mid_child,0.3333333333333333
prop_log_historical_price,1950,C_mid_child,0.3333333333333333
random_bool,1949,C_mid_child,0.3333333333333333
srch_booking_window,1945,C_mid_child,0.3333333333333333
search_price_max,1939,C_mid_child,0.3333333333333333
review_pct_rank_in_search,1938,C_mid_child,0.3333333333333333
star_rank_in_search,1909,C_mid_child,0.3333333333333333
prop_location_score2,1874,C_mid_child,0.3333333333333333
prop_id_std_log_price,1852,C_mid_child,0.3333333333333333
value_star_price,1846,C_mid_child,0.3333333333333333
price_ratio_to_prop_median,1780,C_mid_child,0.3333333333333333
prop_id_te_booking_rate,1741,C_mid_child,0.3333333333333333
prop_id_mean_total_guests,1730,C_mid_child,0.3333333333333333
prop_id_mean_comp_more_expensive,1658,C_mid_child,0.3333333333333333
price_ratio_to_search_mean,1656,C_mid_child,0.3333333333333333
search_review_mean,1625,C_mid_child,0.3333333333333333
price_ratio_to_search_median,1603,C_mid_child,0.3333333333333333
value_review_price,1581,C_mid_child,0.3333333333333333
search_location1_mean,1574,C_mid_child,0.3333333333333333
promotion_diff_from_prop_mean,1565,C_mid_child,0.3333333333333333
prop_id_mean_booking_window,1537,C_mid_child,0.3333333333333333
price_diff_from_prop_median,1532,C_mid_child,0.3333333333333333
prop_id_mean_length_of_stay,1532,C_mid_child,0.3333333333333333
price_ratio_to_dest_median,1515,C_mid_child,0.3333333333333333
star_diff_from_dest_mean,1463,C_mid_child,0.3333333333333333
location2_diff_from_dest_mean,1451,C_mid_child,0.3333333333333333
prop_dest_te_booking_rate,1448,C_mid_child,0.3333333333333333
search_star_mean,1431,C_mid_child,0.3333333333333333
prop_id_mean_comp_same_price,1430,C_mid_child,0.3333333333333333
prop_id_min_price,1414,C_mid_child,0.3333333333333333
review_diff_from_dest_mean,1412,C_mid_child,0.3333333333333333
prop_id_mean_comp_cheaper,1400,C_mid_child,0.3333333333333333
prop_id_mean_query_affinity,1377,C_mid_child,0.3333333333333333
prop_dest_te_relevance_mean,1367,C_mid_child,0.3333333333333333
value_location2_price,1362,C_mid_child,0.3333333333333333
orig_destination_distance,1353,C_mid_child,0.3333333333333333
prop_id_mean_comp_unavailable,1320,C_mid_child,0.3333333333333333
review_rank_in_search,1306,C_mid_child,0.3333333333333333
brand_x_location2,1295,C_mid_child,0.3333333333333333
price_diff_from_search_min,1289,C_mid_child,0.3333333333333333
location2_value_rank,1263,C_mid_child,0.3333333333333333
location2_rank_in_search,1230,C_mid_child,0.3333333333333333
dest_id_mean_length_of_stay,1220,C_mid_child,0.3333333333333333
search_promotion_rate,1214,C_mid_child,0.3333333333333333
prop_id_mean_orig_distance,1206,C_mid_child,0.3333333333333333
search_price_median,1198,C_mid_child,0.3333333333333333
prop_id_mean_domestic_search,1180,C_mid_child,0.3333333333333333
prop_dest_te_count,1167,C_mid_child,0.3333333333333333
prop_location_score1,1159,C_mid_child,0.3333333333333333
price_diff_from_dest_median,1159,C_mid_child,0.3333333333333333
search_price_min,1158,C_mid_child,0.3333333333333333
dest_id_te_click_rate,1152,C_mid_child,0.3333333333333333
dest_id_mean_booking_window,1144,C_mid_child,0.3333333333333333
dest_id_mean_review_score,1127,C_mid_child,0.3333333333333333
prop_id_mean_promotion_flag,1116,C_mid_child,0.3333333333333333
location2_minus_price_rank,1114,C_mid_child,0.3333333333333333
srch_destination_id,1113,C_mid_child,0.3333333333333333
dest_id_te_count,1112,C_mid_child,0.3333333333333333
prop_id_std_price,1110,C_mid_child,0.3333333333333333
prop_dest_count,1096,C_mid_child,0.3333333333333333
dest_id_mean_brand_bool,1095,C_mid_child,0.3333333333333333
dest_id_mean_location_score1,1077,C_mid_child,0.3333333333333333
dest_id_mean_total_guests,1071,C_mid_child,0.3333333333333333
log_price_diff_from_search_mean,1058,C_mid_child,0.3333333333333333
site_dest_te_count,1057,C_mid_child,0.3333333333333333
dest_id_mean_location_score2,1041,C_mid_child,0.3333333333333333
prop_id_max_price,1026,C_mid_child,0.3333333333333333
prop_id_te_count,1011,C_mid_child,0.3333333333333333
dest_id_mean_promotion_flag,1004,C_mid_child,0.3333333333333333
review_minus_price_rank,1003,C_mid_child,0.3333333333333333
site_dest_te_click_rate,982,C_mid_child,0.3333333333333333
dest_id_count,948,C_mid_child,0.3333333333333333
site_dest_te_booking_rate,945,C_mid_child,0.3333333333333333
dest_id_std_price,937,C_mid_child,0.3333333333333333
visitor_prop_country_te_click_rate,925,C_mid_child,0.3333333333333333
review_value_rank,908,C_mid_child,0.3333333333333333
prop_id_mean_comp_inv_missing,895,C_mid_child,0.3333333333333333
dest_id_mean_starrating,871,C_mid_child,0.3333333333333333
dest_id_mean_domestic_search,869,C_mid_child,0.3333333333333333
prop_id_count,844,C_mid_child,0.3333333333333333
dest_id_te_booking_rate,832,C_mid_child,0.3333333333333333
visitor_prop_country_te_count,821,C_mid_child,0.3333333333333333
dest_id_te_relevance_mean,820,C_mid_child,0.3333333333333333
prop_dest_mean_promotion,811,C_mid_child,0.3333333333333333
star_value_rank,806,C_mid_child,0.3333333333333333
search_price_mean,764,C_mid_child,0.3333333333333333
prop_dest_median_price,750,C_mid_child,0.3333333333333333
dest_id_median_price,745,C_mid_child,0.3333333333333333
search_hour,732,C_mid_child,0.3333333333333333
star_minus_price_rank,729,C_mid_child,0.3333333333333333
prop_id_mean_comp_rate_missing,708,C_mid_child,0.3333333333333333
visitor_prop_country_te_relevance_mean,704,C_mid_child,0.3333333333333333
site_dest_te_relevance_mean,700,C_mid_child,0.3333333333333333
dest_id_mean_log_price,681,C_mid_child,0.3333333333333333
dest_id_mean_price,680,C_mid_child,0.3333333333333333
srch_length_of_stay,680,C_mid_child,0.3333333333333333
visitor_prop_country_te_booking_rate,676,C_mid_child,0.3333333333333333
prop_id_mean_comp_available,664,C_mid_child,0.3333333333333333
search_log_price_mean,664,C_mid_child,0.3333333333333333
prop_dest_mean_log_price,656,C_mid_child,0.3333333333333333
prop_dest_mean_price,628,C_mid_child,0.3333333333333333
price_usd,620,C_mid_child,0.3333333333333333
hotels_in_search,619,C_mid_child,0.3333333333333333
children_x_price_ratio,596,C_mid_child,0.3333333333333333
visitor_location_country_id,590,C_mid_child,0.3333333333333333
visitor_hist_adr_usd,578,C_mid_child,0.3333333333333333
prop_id_mean_log_price,545,C_mid_child,0.3333333333333333
prop_id_mean_price,537,C_mid_child,0.3333333333333333
promotion_x_location2,525,C_mid_child,0.3333333333333333
site_id,513,C_mid_child,0.3333333333333333
prop_location_score2_missing,491,C_mid_child,0.3333333333333333
log_booking_window,444,C_mid_child,0.3333333333333333
prop_country_id,429,C_mid_child,0.3333333333333333
search_month,429,C_mid_child,0.3333333333333333
srch_query_affinity_score,422,C_mid_child,0.3333333333333333
prop_id_median_price,409,C_mid_child,0.3333333333333333
prop_dest_mean_location2,393,C_mid_child,0.3333333333333333
promotion_x_price_ratio_mean,362,C_mid_child,0.3333333333333333
search_dayofweek,358,C_mid_child,0.3333333333333333
total_guests,356,C_mid_child,0.3333333333333333
log_orig_destination_distance,345,C_mid_child,0.3333333333333333
promotion_x_price_ratio_median,336,C_mid_child,0.3333333333333333
children_x_review,306,C_mid_child,0.3333333333333333
srch_adults_count,298,C_mid_child,0.3333333333333333
brand_x_review,289,C_mid_child,0.3333333333333333
prop_id_mean_location_score1,288,C_mid_child,0.3333333333333333
review_diff_from_search_max,280,C_mid_child,0.3333333333333333
promotion_x_location1,279,C_mid_child,0.3333333333333333
star_diff_from_search_max,275,C_mid_child,0.3333333333333333
comp5_rate_percent_diff,265,C_mid_child,0.3333333333333333
prop_id_median_log_price,259,C_mid_child,0.3333333333333333
comp2_rate_percent_diff,243,C_mid_child,0.3333333333333333
site_dest_te_log_count,240,C_mid_child,0.3333333333333333
dest_id_te_log_count,236,C_mid_child,0.3333333333333333
comp_same_price_count,230,C_mid_child,0.3333333333333333
visitor_hist_starrating,225,C_mid_child,0.3333333333333333
prop_review_score,216,C_mid_child,0.3333333333333333
brand_x_star,213,C_mid_child,0.3333333333333333
multiroom_x_price_ratio,196,C_mid_child,0.3333333333333333
prop_id_te_log_count,188,C_mid_child,0.3333333333333333
comp8_rate_percent_diff,164,C_mid_child,0.3333333333333333
comp5_rate,163,C_mid_child,0.3333333333333333
prop_dest_te_log_count,161,C_mid_child,0.3333333333333333
promotion_x_review,155,C_mid_child,0.3333333333333333
comp_pct_missing_count,146,C_mid_child,0.3333333333333333
price_usd_capped,135,C_mid_child,0.3333333333333333
comp3_rate_percent_diff,129,C_mid_child,0.3333333333333333
visitor_prop_country_te_log_count,123,C_mid_child,0.3333333333333333
comp_inv_missing_count,111,C_mid_child,0.3333333333333333
comp_available_count,107,C_mid_child,0.3333333333333333
comp_expedia_cheaper_count,105,C_mid_child,0.3333333333333333
comp2_rate,97,C_mid_child,0.3333333333333333
srch_children_count,95,C_mid_child,0.3333333333333333
comp_rate_missing_count,95,C_mid_child,0.3333333333333333
srch_saturday_night_bool,92,C_mid_child,0.3333333333333333
comp8_rate,86,C_mid_child,0.3333333333333333
log_length_of_stay,85,C_mid_child,0.3333333333333333
comp5_inv,84,C_mid_child,0.3333333333333333
search_review_max,83,C_mid_child,0.3333333333333333
prop_starrating,80,C_mid_child,0.3333333333333333
search_star_max,78,C_mid_child,0.3333333333333333
is_4_star,78,C_mid_child,0.3333333333333333
comp3_rate,77,C_mid_child,0.3333333333333333
comp_expedia_more_expensive_count,72,C_mid_child,0.3333333333333333
domestic_search,68,C_mid_child,0.3333333333333333
promotion_x_star,66,C_mid_child,0.3333333333333333
multiroom_x_review,47,C_mid_child,0.3333333333333333
search_quarter,46,C_mid_child,0.3333333333333333
comp3_inv,40,C_mid_child,0.3333333333333333
comp8_inv,40,C_mid_child,0.3333333333333333
comp2_inv,38,C_mid_child,0.3333333333333333
prop_id_mean_review_score,30,C_mid_child,0.3333333333333333
comp7_rate_percent_diff,26,C_mid_child,0.3333333333333333
comp7_rate,26,C_mid_child,0.3333333333333333
comp_unavailable_count,26,C_mid_child,0.3333333333333333
orig_destination_distance_missing,24,C_mid_child,0.3333333333333333
comp4_rate,18,C_mid_child,0.3333333333333333
location1_diff_from_prop_mean,18,C_mid_child,0.3333333333333333
comp_no_inv_data_count,17,C_mid_child,0.3333333333333333
prop_id_mean_starrating,17,C_mid_child,0.3333333333333333
price_usd_clipped,16,C_mid_child,0.3333333333333333
comp6_rate,16,C_mid_child,0.3333333333333333
comp6_inv,15,C_mid_child,0.3333333333333333
comp_no_rate_data_count,15,C_mid_child,0.3333333333333333
comp7_inv,13,C_mid_child,0.3333333333333333
log_price_usd,11,C_mid_child,0.3333333333333333
comp5_rate_missing,11,C_mid_child,0.3333333333333333
srch_query_affinity_score_missing,10,C_mid_child,0.3333333333333333
comp1_rate_percent_diff,10,C_mid_child,0.3333333333333333
comp4_rate_percent_diff,10,C_mid_child,0.3333333333333333
comp5_rate_percent_diff_missing,9,C_mid_child,0.3333333333333333
high_review_score,9,C_mid_child,0.3333333333333333
prop_brand_bool,9,C_mid_child,0.3333333333333333
comp_has_any_inv_data,7,C_mid_child,0.3333333333333333
comp1_rate,7,C_mid_child,0.3333333333333333
comp5_inv_missing,7,C_mid_child,0.3333333333333333
comp8_rate_percent_diff_missing,7,C_mid_child,0.3333333333333333
search_is_weekend,6,C_mid_child,0.3333333333333333
children_present,6,C_mid_child,0.3333333333333333
comp6_rate_percent_diff,6,C_mid_child,0.3333333333333333
comp4_inv,5,C_mid_child,0.3333333333333333
last_minute_booking,5,C_mid_child,0.3333333333333333
comp7_rate_missing,4,C_mid_child,0.3333333333333333
comp_has_any_rate_data,4,C_mid_child,0.3333333333333333
comp8_rate_missing,4,C_mid_child,0.3333333333333333
comp7_inv_missing,4,C_mid_child,0.3333333333333333
comp_has_any_pct_data,4,C_mid_child,0.3333333333333333
log_price_usd_capped,3,C_mid_child,0.3333333333333333
comp3_rate_missing,3,C_mid_child,0.3333333333333333
visitor_hist_adr_usd_missing,3,C_mid_child,0.3333333333333333
comp3_rate_percent_diff_missing,3,C_mid_child,0.3333333333333333
comp3_inv_missing,3,C_mid_child,0.3333333333333333
srch_room_count,3,C_mid_child,0.3333333333333333
prop_dest_mean_review_score,3,C_mid_child,0.3333333333333333
long_stay,3,C_mid_child,0.3333333333333333
multi_room,2,C_mid_child,0.3333333333333333
prop_id_mean_brand_bool,2,C_mid_child,0.3333333333333333
comp2_rate_missing,2,C_mid_child,0.3333333333333333
comp2_inv_missing,2,C_mid_child,0.3333333333333333
visitor_hist_starrating_missing,2,C_mid_child,0.3333333333333333
prop_starrating_is_zero,2,C_mid_child,0.3333333333333333
prop_review_score_missing,2,C_mid_child,0.3333333333333333
comp4_rate_percent_diff_missing,1,C_mid_child,0.3333333333333333
comp8_inv_missing,1,C_mid_child,0.3333333333333333
prop_dest_mean_starrating,1,C_mid_child,0.3333333333333333
log_price_usd_clipped,1,C_mid_child,0.3333333333333333
