feature,importance,model,weight
prop_id_mean_random_bool,8789,D_lower_lr,0.25
location1_diff_from_search_mean,7949,D_lower_lr,0.25
location2_diff_from_prop_mean,6341,D_lower_lr,0.25
log_price_diff_from_prop_mean,6247,D_lower_lr,0.25
price_pct_rank_in_search,6080,D_lower_lr,0.25
prop_id_std_location_score2,6061,D_lower_lr,0.25
prop_id_mean_total_guests,5812,D_lower_lr,0.25
location2_diff_from_search_mean,5760,D_lower_lr,0.25
star_diff_from_search_mean,5724,D_lower_lr,0.25
prop_id_mean_comp_more_expensive,5595,D_lower_lr,0.25
star_pct_rank_in_search,5472,D_lower_lr,0.25
promotion_above_search_avg,5437,D_lower_lr,0.25
prop_id_mean_location_score2,5429,D_lower_lr,0.25
prop_log_historical_price,5357,D_lower_lr,0.25
value_star_price,5345,D_lower_lr,0.25
prop_id_mean_comp_cheaper,5279,D_lower_lr,0.25
review_diff_from_search_mean,5221,D_lower_lr,0.25
price_diff_from_search_median,5179,D_lower_lr,0.25
prop_id_mean_booking_window,5148,D_lower_lr,0.25
price_rank_in_search,5122,D_lower_lr,0.25
prop_id_std_log_price,5115,D_lower_lr,0.25
value_location1_price,5112,D_lower_lr,0.25
prop_id_count,5071,D_lower_lr,0.25
location2_pct_rank_in_search,4882,D_lower_lr,0.25
price_diff_from_search_mean,4869,D_lower_lr,0.25
prop_dest_count,4853,D_lower_lr,0.25
prop_id_mean_length_of_stay,4823,D_lower_lr,0.25
srch_booking_window,4758,D_lower_lr,0.25
prop_id_mean_query_affinity,4620,D_lower_lr,0.25
search_location2_mean,4620,D_lower_lr,0.25
prop_id_mean_comp_unavailable,4499,D_lower_lr,0.25
star_rank_in_search,4490,D_lower_lr,0.25
value_review_price,4455,D_lower_lr,0.25
prop_id_mean_comp_same_price,4394,D_lower_lr,0.25
review_pct_rank_in_search,4349,D_lower_lr,0.25
random_bool,4272,D_lower_lr,0.25
dest_id_count,4209,D_lower_lr,0.25
review_diff_from_dest_mean,4208,D_lower_lr,0.25
prop_id_min_price,4177,D_lower_lr,0.25
search_review_mean,4129,D_lower_lr,0.25
prop_id_mean_orig_distance,4100,D_lower_lr,0.25
star_diff_from_dest_mean,4093,D_lower_lr,0.25
prop_id_mean_promotion_flag,4021,D_lower_lr,0.25
search_price_max,3980,D_lower_lr,0.25
price_ratio_to_search_mean,3931,D_lower_lr,0.25
prop_location_score2,3925,D_lower_lr,0.25
search_location1_mean,3890,D_lower_lr,0.25
prop_id_mean_domestic_search,3883,D_lower_lr,0.25
location2_diff_from_dest_mean,3821,D_lower_lr,0.25
price_ratio_to_search_median,3677,D_lower_lr,0.25
search_star_mean,3658,D_lower_lr,0.25
prop_location_score1,3654,D_lower_lr,0.25
promotion_diff_from_prop_mean,3646,D_lower_lr,0.25
dest_id_mean_brand_bool,3530,D_lower_lr,0.25
price_ratio_to_prop_median,3529,D_lower_lr,0.25
prop_id_std_price,3497,D_lower_lr,0.25
dest_id_mean_length_of_stay,3431,D_lower_lr,0.25
dest_id_mean_review_score,3314,D_lower_lr,0.25
price_diff_from_search_min,3306,D_lower_lr,0.25
dest_id_mean_booking_window,3276,D_lower_lr,0.25
prop_id_max_price,3214,D_lower_lr,0.25
brand_x_location2,3210,D_lower_lr,0.25
review_rank_in_search,3190,D_lower_lr,0.25
srch_destination_id,3143,D_lower_lr,0.25
orig_destination_distance,3133,D_lower_lr,0.25
dest_id_mean_total_guests,3103,D_lower_lr,0.25
dest_id_mean_promotion_flag,3056,D_lower_lr,0.25
price_diff_from_prop_median,3013,D_lower_lr,0.25
prop_dest_mean_promotion,3012,D_lower_lr,0.25
location2_value_rank,2991,D_lower_lr,0.25
dest_id_mean_location_score1,2971,D_lower_lr,0.25
price_ratio_to_dest_median,2957,D_lower_lr,0.25
search_price_min,2857,D_lower_lr,0.25
dest_id_mean_location_score2,2844,D_lower_lr,0.25
prop_id_mean_comp_inv_missing,2841,D_lower_lr,0.25
dest_id_mean_domestic_search,2794,D_lower_lr,0.25
location2_minus_price_rank,2792,D_lower_lr,0.25
price_diff_from_dest_median,2765,D_lower_lr,0.25
value_location2_price,2762,D_lower_lr,0.25
dest_id_mean_starrating,2711,D_lower_lr,0.25
search_promotion_rate,2660,D_lower_lr,0.25
dest_id_std_price,2495,D_lower_lr,0.25
location2_rank_in_search,2470,D_lower_lr,0.25
review_value_rank,2371,D_lower_lr,0.25
search_price_median,2302,D_lower_lr,0.25
log_price_diff_from_search_mean,2263,D_lower_lr,0.25
prop_id_mean_comp_rate_missing,2218,D_lower_lr,0.25
review_minus_price_rank,2174,D_lower_lr,0.25
prop_id_mean_comp_available,2126,D_lower_lr,0.25
star_value_rank,2114,D_lower_lr,0.25
prop_dest_median_price,1924,D_lower_lr,0.25
search_hour,1839,D_lower_lr,0.25
star_minus_price_rank,1816,D_lower_lr,0.25
dest_id_median_price,1765,D_lower_lr,0.25
prop_dest_mean_price,1732,D_lower_lr,0.25
prop_id_mean_price,1730,D_lower_lr,0.25
dest_id_mean_price,1696,D_lower_lr,0.25
site_id,1674,D_lower_lr,0.25
srch_length_of_stay,1663,D_lower_lr,0.25
dest_id_mean_log_price,1643,D_lower_lr,0.25
visitor_location_country_id,1631,D_lower_lr,0.25
price_usd,1624,D_lower_lr,0.25
prop_dest_mean_log_price,1498,D_lower_lr,0.25
search_log_price_mean,1470,D_lower_lr,0.25
hotels_in_search,1452,D_lower_lr,0.25
search_price_mean,1429,D_lower_lr,0.25
prop_id_mean_log_price,1429,D_lower_lr,0.25
prop_country_id,1372,D_lower_lr,0.25
prop_id_median_price,1338,D_lower_lr,0.25
children_x_price_ratio,1312,D_lower_lr,0.25
promotion_x_location2,1269,D_lower_lr,0.25
srch_query_affinity_score,1201,D_lower_lr,0.25
visitor_hist_adr_usd,1133,D_lower_lr,0.25
search_month,1048,D_lower_lr,0.25
prop_location_score2_missing,1004,D_lower_lr,0.25
promotion_x_price_ratio_mean,929,D_lower_lr,0.25
log_booking_window,899,D_lower_lr,0.25
brand_x_review,891,D_lower_lr,0.25
promotion_x_location1,865,D_lower_lr,0.25
promotion_x_price_ratio_median,854,D_lower_lr,0.25
search_dayofweek,832,D_lower_lr,0.25
brand_x_star,830,D_lower_lr,0.25
total_guests,818,D_lower_lr,0.25
prop_id_median_log_price,813,D_lower_lr,0.25
prop_review_score,752,D_lower_lr,0.25
prop_dest_mean_location2,750,D_lower_lr,0.25
srch_adults_count,733,D_lower_lr,0.25
prop_id_mean_location_score1,730,D_lower_lr,0.25
comp5_rate_percent_diff,706,D_lower_lr,0.25
children_x_review,674,D_lower_lr,0.25
star_diff_from_search_max,634,D_lower_lr,0.25
log_orig_destination_distance,625,D_lower_lr,0.25
review_diff_from_search_max,616,D_lower_lr,0.25
comp_same_price_count,591,D_lower_lr,0.25
comp2_rate_percent_diff,518,D_lower_lr,0.25
comp5_rate,502,D_lower_lr,0.25
visitor_hist_starrating,487,D_lower_lr,0.25
comp8_rate_percent_diff,404,D_lower_lr,0.25
promotion_x_review,395,D_lower_lr,0.25
comp3_rate_percent_diff,394,D_lower_lr,0.25
comp_pct_missing_count,379,D_lower_lr,0.25
multiroom_x_price_ratio,367,D_lower_lr,0.25
price_usd_capped,344,D_lower_lr,0.25
log_length_of_stay,322,D_lower_lr,0.25
comp_expedia_cheaper_count,272,D_lower_lr,0.25
comp_inv_missing_count,255,D_lower_lr,0.25
comp_rate_missing_count,244,D_lower_lr,0.25
domestic_search,244,D_lower_lr,0.25
prop_starrating,242,D_lower_lr,0.25
is_4_star,238,D_lower_lr,0.25
comp_available_count,235,D_lower_lr,0.25
comp8_rate,231,D_lower_lr,0.25
srch_children_count,221,D_lower_lr,0.25
comp5_inv,218,D_lower_lr,0.25
promotion_x_star,218,D_lower_lr,0.25
search_star_max,204,D_lower_lr,0.25
srch_saturday_night_bool,203,D_lower_lr,0.25
comp2_rate,199,D_lower_lr,0.25
comp3_rate,186,D_lower_lr,0.25
