feature,importance
star_pct_rank_in_search,871
price_pct_rank_in_search,723
star_diff_from_search_mean,683
location2_diff_from_search_mean,575
random_bool,569
search_location2_mean,481
promotion_above_search_avg,465
prop_location_score2,464
prop_log_historical_price,451
review_pct_rank_in_search,420
price_rank_in_search,396
prop_location_score1,390
price_diff_from_search_mean,387
review_diff_from_search_mean,382
price_diff_from_search_median,372
search_location1_mean,331
price_ratio_to_search_median,272
location1_diff_from_search_mean,269
price_ratio_to_search_mean,268
star_rank_in_search,253
price_usd,249
prop_review_score,185
location2_pct_rank_in_search,183
prop_starrating,166
prop_country_id,152
price_diff_from_search_min,147
review_diff_from_search_max,126
review_rank_in_search,117
log_price_diff_from_search_mean,110
location2_rank_in_search,103
prop_location_score2_missing,96
promotion_flag,90
search_star_mean,89
star_diff_from_search_max,85
prop_brand_bool,71
price_usd_capped,70
visitor_hist_adr_usd,70
srch_booking_window,69
search_price_median,54
search_review_mean,49
domestic_search,40
orig_destination_distance,37
search_price_min,37
search_price_max,32
search_log_price_mean,29
srch_length_of_stay,28
log_price_usd,27
visitor_location_country_id,22
comp5_rate_percent_diff,20
is_4_star,20
visitor_hist_starrating,20
comp8_inv,16
log_booking_window,16
comp2_rate_percent_diff,14
site_id,13
search_promotion_rate,12
comp8_rate_percent_diff,12
price_usd_clipped,12
high_review_score,11
hotels_in_search,11
comp3_rate_percent_diff,9
srch_query_affinity_score,9
search_price_mean,8
log_orig_destination_distance,8
log_length_of_stay,7
log_price_usd_capped,7
total_guests,7
comp_expedia_more_expensive_count,6
comp_inv_missing_count,6
srch_adults_count,6
srch_children_count,5
srch_destination_id,4
comp3_rate,4
comp3_inv,4
comp8_inv_missing,3
comp5_inv,3
comp_expedia_cheaper_count,2
comp_no_inv_data_count,1
comp8_rate,1
comp5_rate,1
comp4_inv,1
log_price_usd_clipped,1
children_present,1
comp7_rate_percent_diff,1
comp_pct_missing_count,1
last_minute_booking,1
comp_rate_missing_count,1
comp2_inv,1
comp2_rate,1
comp1_rate_percent_diff,1
srch_room_count,1
comp_no_rate_data_count,0
visitor_hist_starrating_missing,0
comp7_inv,0
comp8_rate_percent_diff_missing,0
comp8_rate_missing,0
price_is_zero,0
comp7_rate,0
comp6_rate_percent_diff,0
comp6_inv,0
comp6_rate,0
comp4_rate_percent_diff,0
search_star_max,0
comp4_rate,0
comp7_inv_missing,0
search_review_max,0
comp1_inv,0
comp1_rate,0
srch_saturday_night_bool,0
comp7_rate_percent_diff_missing,0
comp4_rate_percent_diff_missing,0
comp7_rate_missing,0
comp_same_price_count,0
comp_has_any_inv_data,0
comp_has_any_rate_data,0
search_is_weekend,0
search_hour,0
search_dayofweek,0
search_quarter,0
visitor_hist_adr_usd_missing,0
is_5_star,0
srch_query_affinity_score_missing,0
long_stay,0
long_booking_window,0
orig_destination_distance_missing,0
prop_review_score_missing,0
multi_room,0
prop_review_score_is_zero,0
prop_starrating_is_zero,0
price_below_10,0
comp_has_any_pct_data,0
comp_unavailable_count,0
comp6_rate_percent_diff_missing,0
comp_available_count,0
comp6_inv_missing,0
comp6_rate_missing,0
comp5_rate_percent_diff_missing,0
comp5_inv_missing,0
comp5_rate_missing,0
price_below_1,0
comp4_inv_missing,0
comp4_rate_missing,0
comp3_rate_percent_diff_missing,0
comp3_inv_missing,0
comp3_rate_missing,0
comp2_rate_percent_diff_missing,0
comp2_inv_missing,0
comp2_rate_missing,0
comp1_rate_percent_diff_missing,0
comp1_inv_missing,0
comp1_rate_missing,0
search_month,0
