feature,weighted_importance
prop_id_mean_random_bool,5440.25
location1_diff_from_search_mean,5070.75
location2_diff_from_prop_mean,3989.75
log_price_diff_from_prop_mean,3953.25
price_pct_rank_in_search,3922.25
prop_id_std_location_score2,3818.5
prop_id_mean_total_guests,3727.25
star_diff_from_search_mean,3648.25
location2_diff_from_search_mean,3636.25
star_pct_rank_in_search,3537.25
prop_id_mean_comp_more_expensive,3514.75
prop_log_historical_price,3444.75
prop_id_mean_location_score2,3420.25
promotion_above_search_avg,3416.75
value_star_price,3372.0
prop_id_mean_comp_cheaper,3336.75
review_diff_from_search_mean,3317.75
price_diff_from_search_median,3314.5
prop_id_mean_booking_window,3273.5
price_rank_in_search,3218.5
prop_id_count,3194.25
prop_id_std_log_price,3192.0
value_location1_price,3176.5
location2_pct_rank_in_search,3149.25
price_diff_from_search_mean,3136.75
prop_id_mean_length_of_stay,3132.25
srch_booking_window,3034.0
prop_dest_count,3012.0
search_location2_mean,2927.5
prop_id_mean_comp_unavailable,2912.0
prop_id_mean_query_affinity,2898.25
value_review_price,2868.25
prop_id_mean_comp_same_price,2865.0
review_pct_rank_in_search,2836.0
star_rank_in_search,2819.0
prop_id_min_price,2727.0
dest_id_count,2673.5
star_diff_from_dest_mean,2656.75
random_bool,2645.5
review_diff_from_dest_mean,2629.25
search_review_mean,2558.5
search_price_max,2539.5
prop_id_mean_orig_distance,2538.25
search_location1_mean,2521.5
price_ratio_to_search_mean,2494.25
prop_location_score2,2490.75
prop_id_mean_promotion_flag,2484.0
prop_id_mean_domestic_search,2429.0
location2_diff_from_dest_mean,2376.75
price_ratio_to_search_median,2365.5
search_star_mean,2345.0
prop_id_std_price,2313.25
price_ratio_to_prop_median,2304.75
promotion_diff_from_prop_mean,2283.0
prop_location_score1,2250.75
dest_id_mean_length_of_stay,2220.75
dest_id_mean_brand_bool,2170.5
dest_id_mean_review_score,2140.5
prop_id_max_price,2090.25
price_diff_from_search_min,2069.0
srch_destination_id,2044.0
dest_id_mean_booking_window,2037.75
review_rank_in_search,1999.0
price_diff_from_prop_median,1985.75
orig_destination_distance,1975.25
brand_x_location2,1957.25
dest_id_mean_total_guests,1953.5
prop_dest_mean_promotion,1922.0
dest_id_mean_promotion_flag,1916.75
location2_value_rank,1899.5
price_ratio_to_dest_median,1884.5
dest_id_mean_location_score1,1841.75
search_price_min,1837.25
prop_id_mean_comp_inv_missing,1812.25
location2_minus_price_rank,1799.0
value_location2_price,1790.5
price_diff_from_dest_median,1776.25
dest_id_mean_location_score2,1753.25
dest_id_mean_domestic_search,1734.5
search_promotion_rate,1700.0
dest_id_mean_starrating,1660.0
dest_id_std_price,1600.5
location2_rank_in_search,1546.75
review_value_rank,1495.75
log_price_diff_from_search_mean,1481.25
review_minus_price_rank,1459.5
search_price_median,1422.75
prop_id_mean_comp_rate_missing,1402.25
star_value_rank,1356.75
prop_id_mean_comp_available,1355.5
search_hour,1231.5
prop_dest_median_price,1225.0
star_minus_price_rank,1224.75
dest_id_median_price,1149.0
dest_id_mean_price,1108.25
prop_id_mean_price,1106.0
prop_dest_mean_price,1104.5
site_id,1084.25
srch_length_of_stay,1062.25
visitor_location_country_id,1062.0
dest_id_mean_log_price,1040.25
price_usd,1026.75
prop_dest_mean_log_price,995.75
hotels_in_search,950.5
search_log_price_mean,945.25
search_price_mean,926.5
prop_id_mean_log_price,921.75
prop_id_median_price,888.5
prop_country_id,880.5
children_x_price_ratio,856.25
promotion_x_location2,809.0
srch_query_affinity_score,741.0
visitor_hist_adr_usd,717.5
search_month,672.25
prop_location_score2_missing,607.25
promotion_x_location1,572.75
promotion_x_price_ratio_mean,571.5
log_booking_window,562.0
brand_x_review,554.0
total_guests,538.25
promotion_x_price_ratio_median,538.25
search_dayofweek,522.75
prop_id_median_log_price,513.0
brand_x_star,512.0
prop_review_score,474.75
prop_id_mean_location_score1,456.25
log_orig_destination_distance,454.75
comp5_rate_percent_diff,454.75
prop_dest_mean_location2,454.0
srch_adults_count,446.0
star_diff_from_search_max,414.5
children_x_review,411.5
review_diff_from_search_max,398.25
comp_same_price_count,372.0
comp2_rate_percent_diff,344.5
visitor_hist_starrating,335.75
comp5_rate,302.75
comp8_rate_percent_diff,282.5
comp3_rate_percent_diff,253.5
comp_pct_missing_count,252.5
promotion_x_review,251.0
multiroom_x_price_ratio,245.0
price_usd_capped,233.0
log_length_of_stay,192.25
comp_inv_missing_count,187.25
comp_expedia_cheaper_count,177.0
comp_rate_missing_count,168.25
comp_available_count,164.5
is_4_star,150.75
prop_starrating,148.75
domestic_search,146.75
comp5_inv,146.25
srch_children_count,145.5
comp8_rate,144.75
srch_saturday_night_bool,137.0
promotion_x_star,136.5
search_star_max,136.25
search_review_max,124.0
comp3_rate,123.5
comp2_rate,115.25
comp_expedia_more_expensive_count,111.5
multiroom_x_review,100.5
comp2_inv,82.25
comp3_inv,67.75
comp8_inv,64.75
location1_diff_from_prop_mean,59.75
prop_id_mean_review_score,59.0
search_quarter,58.75
