alpha,model,overall_ndcg@5,domestic_ndcg@5,international_ndcg@5,international_minus_domestic_ndcg@5,domestic_booked_recall@5,international_booked_recall@5,international_minus_domestic_recall@5,domestic_top1_hit_rate,international_top1_hit_rate,domestic_mean_booked_rank,international_mean_booked_rank
0.0,Post-processing blend alpha=0.00,0.408947,0.415919,0.396352,-0.019567,0.634079,0.60661,-0.027468,0.245416,0.233135,6.025298,6.419873
0.05,Post-processing blend alpha=0.05,0.40883,0.415919,0.396022,-0.019898,0.634079,0.606298,-0.027781,0.245416,0.232822,6.025298,6.417892
0.1,Post-processing blend alpha=0.10,0.408825,0.415919,0.396009,-0.019911,0.634079,0.606506,-0.027573,0.245416,0.232822,6.025352,6.418622
0.15,Post-processing blend alpha=0.15,0.408911,0.415921,0.396246,-0.019675,0.634079,0.607132,-0.026947,0.245416,0.232927,6.025298,6.419873
0.2,Post-processing blend alpha=0.20,0.408865,0.415936,0.396093,-0.019843,0.634079,0.607132,-0.026947,0.245416,0.233135,6.025298,6.419456
0.25,Post-processing blend alpha=0.25,0.408835,0.415936,0.396007,-0.019929,0.634079,0.60734,-0.026738,0.245416,0.232822,6.025407,6.419873
0.3,Post-processing blend alpha=0.30,0.40889,0.415938,0.396156,-0.019782,0.634079,0.607549,-0.02653,0.245416,0.232614,6.025461,6.42029
0.35,Post-processing blend alpha=0.35,0.408955,0.415938,0.396339,-0.0196,0.634079,0.607862,-0.026217,0.245416,0.233865,6.025515,6.419143
0.4,Post-processing blend alpha=0.40,0.408871,0.415938,0.396104,-0.019834,0.634079,0.606193,-0.027885,0.245416,0.233761,6.025624,6.423001
0.45,Post-processing blend alpha=0.45,0.409031,0.415943,0.396543,-0.0194,0.634079,0.606402,-0.027677,0.245416,0.234282,6.02557,6.42446
0.5,Post-processing blend alpha=0.50,0.408959,0.415943,0.396342,-0.019601,0.634079,0.606298,-0.027781,0.245416,0.234803,6.025679,6.43301
0.55,Post-processing blend alpha=0.55,0.408916,0.415943,0.396222,-0.019721,0.634079,0.606506,-0.027573,0.245416,0.234803,6.025787,6.442394
0.6,Post-processing blend alpha=0.60,0.40878,0.415943,0.39584,-0.020104,0.634079,0.605881,-0.028198,0.245416,0.234699,6.025733,6.451673
0.65,Post-processing blend alpha=0.65,0.408516,0.415943,0.395097,-0.020846,0.634079,0.605151,-0.028928,0.245416,0.232822,6.025842,6.463143
0.7,Post-processing blend alpha=0.70,0.40826,0.415943,0.39438,-0.021563,0.634079,0.603691,-0.030388,0.245416,0.232718,6.025842,6.47409
0.75,Post-processing blend alpha=0.75,0.40817,0.415941,0.394134,-0.021807,0.634079,0.602857,-0.031222,0.245416,0.231988,6.026005,6.486915
0.8,Post-processing blend alpha=0.80,0.407923,0.415941,0.39344,-0.0225,0.634079,0.601606,-0.032473,0.245416,0.230424,6.02606,6.502659
0.85,Post-processing blend alpha=0.85,0.40771,0.415956,0.392814,-0.023142,0.634133,0.600563,-0.03357,0.245416,0.230007,6.02606,6.522156
0.9,Post-processing blend alpha=0.90,0.407488,0.415956,0.39219,-0.023765,0.634133,0.599729,-0.034404,0.245416,0.229173,6.026168,6.543947
0.95,Post-processing blend alpha=0.95,0.407148,0.415958,0.391231,-0.024727,0.634133,0.60025,-0.033883,0.245416,0.227088,6.026168,6.566052
1.0,Post-processing blend alpha=1.00,0.406858,0.415976,0.390387,-0.025589,0.634079,0.59952,-0.034558,0.245471,0.226567,6.026223,6.593786
